title,release.name,artist.name,terms,year
Brighten Your Night With My Day,Listen With James,James Taylor,folk-pop,0
Bumbling Along,Luke Vibert's Nuggets,Nino Nardini,latin jazz,2001
La vida (Jp Candela & Vlada Asanin club mix),Club_ Crucial and Crossover,Carlos Jimenez_ J Elvira_ Oliversam,latin jazz,0
So Ist Das Nun Mal,Compact Disco Volume Two - Ladomat 2000,Andreas Dorau,tech house,1997
Happy To Meet & Sorry To Part,The Wandering Minstrel,SA(c)amus Ennis,irish folk,0
Travelin' Blues,Blues In My Shoes,Roy Brown,jump blues,0
Pleas Made Against Stasis,Music for Scattered Brains,AZ,gangster rap,0
Het Spongebob Squarepants Lied,Het Spongebob Squarepants Lied,Spongebob Squarepants,texas blues,0
Big Leg Woman Gets My Pay,Sweet Honey Hole,Blind Boy Fuller,country blues,1991
Aneurysm,From The Muddy Banks Of The Wishkah,Nirvana,grunge,0
Interplanetary Party,Ultimate Santana,Santana,blues-rock,0
So Do I,Street Singer,Arthur Tracy,vaudeville,1993
Lost,Lost,Roger Sanchez,progressive house,2006
Someday My Luck Will Change,The Man,Clarence "Gatemouth" Brown,texas blues,1995
Ma Zui,Upclose Candy Lo,Candy Lo,chinese music,0
Ulan Bator Girls,Go space,Leningrad Cowboys,folk rock,1996
Eager (Live),Mystery Repeats - The Live Edition,Pete Philly & Perquisite,hip hop,0
In The Midnight Hour,Cross Country,Cross Country,progressive house,2009
The Roof Song,Liar Liar,Mr Brown,happy hardcore,0
Ride The Storm,Dancing With Ghosts,Epitaph,kraut rock,0
Marie Marie,The Very Best of Congolese Rumba : The Kinshasa-Abidjan Sessions (le meilleur de la rumba congolais,Wendo Kolosoy,rumba,1993
Vos plaintes_ vos regrets_ augmentent mon supplice,Gluck: OrfA(c)e et Euridice,Juan Diego FlA3rez / Orquesta SinfA3nica de Madrid / JesAos LA3pez-Cobos,opera,0
Nothing But Sky [Outro] (Album Version),Love Out Loud,Jaci Velasquez,ccm,2008
Mississippi Boweavil Blues,Charley Patton Vol. 1 (1929),Charley Patton,delta blues,1929
You Found Me,NOW That's What I Call Music_ Vol. 31,The Fray,piano rock,2008
Excerpt Of A Speech By Marcus Mosiah Garvey,Friends For Life,Buju Banton,roots reggae,2003
Any Wich Way (Freedom Must Come),Faso Kanou,Manjul,dub,2005
Se Viene,De La Cabeza Con Bersuit Vergarabat,Bersuit Vergarabat,cumbia,1998
King Of Pain,Certifiable,The Police,new wave,1983
Open (Koobas Koobatronmix),Open,Dub Pistols feat. TK & JMS,big beat,0
Shine On Your Shoes,Very Best Of,Jerry Lewis,rock steady,1995
All Night Long,Dirty Rotten Filthy Stinking Rich,Warrant,hard rock,0
The Mystery Epoch,Loopus Interruptus (Forgotten Treasures & Lost Artifacts),Loop Guru,downtempo,2001
Wild Card,Vintage Collections,Tex Williams,western swing,2004
The Firebird/Apparition de L'Oiseau de Feu_ poursuivi par Ivan TsarA(c)vitch,Stravinsky Conducts Stravinsky,Columbia Symphony Orchestra;Igor Stravinsky,ballet,0
Amazing Grace,Cajun Hymns,Jo-El Sonnier,bluegrass,0
Three Hearts In A Tangle,Second Hand Rose,Roy Drusky,country rock,1961
Erased,Bare,Annie Lennox,soft rock,2003
Captain Fury,True Shift,Pumpkin Buzzard,happy hardcore,0
Against My Will (LP Version),Brenda Lee,Brenda Lee,ballad,1960
She kills,Mama please,Cirrus,big beat,0
Stompin' at the Savoy,Swing - Original Broadway Cast Recording,Ann Hampton Callaway;Laura Benanti;Michael Gruber;Everett Bradley,vocal jazz,0
Holdin' On,LifeTime,Terry Callier,soul jazz,1999
Standing On The Corner,The Most Happy Fella,Percy Faith & His Orchestra,orchestra,0
Forever,Crush The Dream,Malefaction,grindcore,0
Coup De Lune (RemasterisA(c) En 2007),Platinum Higelin,Jacques Higelin,chanson,0
Go Tell It On The Mountain,A Wright Christmas,Michelle Wright,country rock,0
Skit #2 (Kanye West/Late Registration),Late Registration,Kanye West,hip hop,2005
Je Vous Revois_ Madame (Flm ''Le Vagabond Bien AimA(c)''),D'Hollywood A La drA'le De Guerre,Maurice Chevalier,chanson,0
Call On The Father,Can't Stop A Man,Beres Hammond,lovers rock,2003
Amthran Na Bh Fiann (Ireland),National Anthems Of The World,The London Theatre Orchestra,ragtime,0
Colorblind,The Routine,Hotwire,uk garage,0
Under The Bridges Of Paris,Percy Faith Plays Continental Music,Percy Faith,instrumental pop,0
Estroupele-Troupele. MuiA+-eira,Terra de Montes,Os Gaiteiros de Soutelo,gaita,0
Harda They Come,Water Drops Riddim,Gyptian,reggae,0
Lightning Breaks,Coup D'Etat (UK),Plasmatics,trip hop,1996
Bruno Dika,La Bonne Humeur,Madilu System,congo,0
Salvation,The 4400,John Van Tongeren,soundtrack,2007
We Got It (Cadillac),We Got It (Cadillac),Toby Love featuring Julio Voltio,bachata,0
A Boy Named Sue,The Best Of The Johnny Cash TV Show,Johnny Cash,honky tonk,1969
Nunca Sabras,Negroklaro,KALIMBA,death core,2007
Whiskey on the Fire,Angels & Outlaws,Aaron Watson,honky tonk,2008
Bee Sting Stings,Darla 100,Tullycraft,twee pop,1999
bereit,THIS IS MY BATTLEFIELD,Panzer AG,industrial dance,2004
Funky Butt,Rockin' Zydeco Party!,Rockin' Dopsie_ Jr._ The Zydeco Twisters,zydeco,0
Take Your Leave Of Me Baby,Where I Been,Doug MacLeod,blues,0
Could You Be Love,Babies Go Bob Marley,Mariano Yanani,lullaby,2005
These Four Walls,These Four Walls,Shawn Colvin,country rock,2006
Guarare (Live At The Beacon Theatre),Tomorrow: Barretto Live,Ray Barretto,latin jazz,0
1492,Scarlet's Remains,Scarlet's Remains,gothic metal,2005
Man I Used To Be,Joyful Rebellion,K-OS,trip hop,2004
The west's awake,Ireland (Rebel Songs),Tony Malone And The Rapparees,irish folk,0
Baltech's Lament,Traveller,The Lord Weird Slough Feg,folk metal,2003
If Ever I Would Leave You,50 Broadway Showstoppers,London Theatre Orchestra,ragtime,0
PA!ginas del Alma,10 De ColecciA3n,Yolandita Monge,reggaeton,0
Saturday,My Crew_ My Dawgs,T.O.K.,dancehall,2001
Warhead (Live in Croatia_ 1993),Normal Service Resumed,U.K. Subs,oi,1993
Did We Not Choose Each Other,Whaler,Sophie B. Hawkins,ballad,1994
It Feels Like Rain,Meet Me Where They Play The Blues,Maria Muldaur,dance pop,1999
So So So,Zoo Palace,The Lord Henry,modern rock,0
Immortal_ Invisible,Acapella Hymns,Glad,ccm,1993
Banzai Washout,Revolution,Way Out West,progressive house,0
Quest for Oneness,Pave the Way,Mikey Dread,roots reggae,1991
Mardi Gras Mambo (Cajun Mardi Gras Album Version),Cajun Mardi Gras,Jo-El Sonnier,bluegrass,0
Caught In A Dream (Album Version),Love It To Death,Alice Cooper,shock rock,1971
The Bravest Kids (Acoustic),Let The Dominoes Fall,Rancid,ska punk,0
Life Deprived,In Defiance Of Existence,Old Man's Child,sympho black metal,2003
Magico,QBO,QBO,nu metal,0
Genio Atrapado,Christina Aguilera/Stripped,Christina Aguilera,dance pop,2000
Dolor,Como Decirte,Los Traileros Del Norte,mexico,0
Espana tiene sabor,Espana tiene sabor,Los Ninos De Sara,flamenco,0
When The Sun Goes Down,New Orleans Guitar_ CD D,Guitar Slim,r&b,0
See The Lights (2002 Digital Remaster),Real Life,Simple Minds,new wave,1991
Cincinnati Ohio,Once A Day,Connie Smith,country gospel,0
I'm Kinda Partial To His Puss (from My Square Laddie),My Square Laddie / I Can Cook Too,Nancy Walker,vaudeville,0
The Cleansing Apparatus,I_ Colossus,A Different Breed of Killer,death core,2008
Little Bluebird,The Very Best Of Little Milton,Little Milton,electric blues,1995
[Hidden Track],Late for the Future,Galactic,jazz funk,2000
Do You Want To,You Could Have It So Much Better,Franz Ferdinand,art rock,2005
Ina Your Rights,New Chapter,Aswad,roots reggae,1981
The Painter,A Soulful Experience,Rance Allen Group,jazz funk,2006
Bop Till You Drop,Inside Moves,Michael Stanley Band,heartland rock,0
CA(c)u do Brasil,Free Bossa,Nouvelle,bossa nova,2000
School Spirit Skit 2,The College Dropout,Kanye West,hip hop,2003
Ain't No Tellin',Sonny Terry & Brownie McGhee_ Vol. B (1941),Sonny Terry & Brownie McGhee,piedmont blues,0
Hold On I'm A Comin' (Album Version),Bill Cosby Sings Hooray For The Salvation Army Band!,Bill Cosby,comedy,1968
Be My Hustla (Explicit) (Feat. J. Holiday),Guilt (Explicit),MIMS Featuring J. Holiday,pop rap,0
P.S. I Love You (LP Version),Sings The Movies,James Darren,brill building pop,0
Midnight Train,After All This Time: The Best Of Darden Smith,Darden Smith,blues-rock,1990
Strangers In The Night,Romantic Reggae Vol. 3,Glen Washington,lovers rock,2000
It's Like That,It's Like This - The Best Of,RUN-DMC vs. Jason Nevins,hip hop,1984
Vos Sabes,La Marcha Del Golazo Solitario,Los Fabulosos Cadillacs,ska,1999
El Aoltimo romA!ntico: romanza de tenor,Romanzas de Zarzuela,Alfredo Kraus - Orquesta de Conciertos de Madrid - Pablo SorozA!bal,opera,0
Irapijerkifly,Composition Book,Izzy,opera,0
Une java,The Greatest Hits from 40's and 50's_ Vol. 70,Albert PrA(c)jean,chanson,0
Rock 'n' Roll,Anthology,Generation X,punk,0
Mine All Mine,Vintage Collections,Jimmy Wakely,classic country,2005
Agenda Zwei Null Eins Null,Hardliner,Django AsA1/4l,german,2004
You're Crazy,Live Era '87-'93,Guns N' Roses,heavy metal,1987
The Small Print,Absolution,Muse,art rock,0
I Dunno (LP Version),Let It Rock...Best Of Georgia Satellites,Georgia Satellites,roots rock,0
Easily,Alive,Vivian,happy hardcore,0
Shut Up,The Ultimate Pretty Boy Floyd,Pretty Boy Floyd,glam metal,0
Paper Aeroplane (Live From 'Drastic Fantastic' Tour),Saving My Face,KT Tunstall,folk-pop,2007
This is My Father's World/For the Beauty of the Earth,Acapella Hymns,Glad,ccm,1993
Termites in the Bathtub,Early Works for Me If It Works for You II,Dntel,glitch,1998
Main Theme from Jaws,The Greatest Sci-Fi & Horror Themes,Orlando Pops Orchestra and Andrew Lane,orchestra,0
Oh! quand je dors,Liszt: 'Tre Sonetti di Petrarca' & First Settings of Victor Hugo,Dennis O'Neill,bel canto,0
Say Something [featuring Jean Grae] (Album Version),Eardrum,Talib Kweli,hip hop,2007
Farenheit 303,Halcyon - The Platinum Collection,Orbital,techno,2005
After The Glitter Fades (LP Version),Letter To Home,Glen Campbell,country rock,0
Wanted Dead Or Alive,Rock Bottom - The Rock Essentials,L.A. Guns,heavy metal,0
La vie d'artiste,The Greatest Hits from 40's and 50's_ Vol. 34,MichA"le Arnaud,chanson,0
Scrimmage,Two-Shade,Gerald Clayton,nu jazz,2009
Viimeinen lento,Lauluja rakkaudesta,Kaija Koo,humppa,1993
Drinkin' Wine - Original,Gene Simmons' Drinkin' Wine,Gene Simmons,hard rock,0
Crazy,Get A Grip,Aerosmith,blues-rock,1993
From a Jack To a King,Sweet Sounds of Country Vol. 1,Ned Miller,country rock,1963
Out in the Streets,Best of The Shangri-Las,The Shangri-Las,doo-wop,1965
Str8 M.O.B.,Assassin Out of Custody,Assassin,dancehall,0
Reinvigorated (Maschinenkult_ Pt. 1),Herbst9 vs. Z'ev - Through Bleak Landscapes,Herbst9_ Z'ev,dark ambient,0
You Found Me,On The Cover,MxPx,christian rock,1995
OraciA3n (Directo),Senderos De TraiciA3n - EdiciA3n Especial,HA(c)roes del Silencio,hard rock,0
Conc Orchestre Sz.116/Allegretto (2eme Mvt),Hary Janos/Concerto For Orchestra,Herbert Von Karajan,opera,0
Drunnhvita Elevator,Anybody Home?,John Tchicai,free jazz,0
Pretty Little Thing,Bang Bang,Dale Hawkins,rockabilly,0
Chile con carne,37Adeg2 Le Matin,Gabriel Yared,latin jazz,1986
En Acoutant Mon Coeur Chanter,Platinum Line Renaud,Line Renaud,chanson,0
Mountain Theme,The Man from Snowy River,Bruce Rowland,easy listening,1982
Shed So Many Tears,Gangster Of Love & Other Favorites (Digitally Remastered),Johnny Winter,blues-rock,1984
Lixuneanos (Original Mix),Lixuneanos,Rui Da Silva,progressive house,0
Ho Shit (Chopped&Screwed),Ghetto Dope,5th Ward Boyz,hip hop,1993
Little Bar Butterfly,I'm No Angel,Mae West,modern rock,1996
Hope For The Fallen,From Isolation,Call To Preserve,straight edge,2008
Not Missing You,Beauty and the Truth,Inspector 9,rock,0
Show Some Sign,The Word In Song,The Jackson Southernaires,southern gospel,0
Too Much Fun,Live From Deep In The Heart Of Texas,Commander Cody And His Lost Planet Airmen,country rock,1974
The Son Shines Down On Me,Texas Gold/Comin' Right At Ya,Asleep At The Wheel,western swing,0
Shi Guang Ben Shi Wu Zui,Ben Se,Sandy Lam,chinese music,0
No Rainbow,We Are Night Sky,deadboy & the Elephantmen,punk blues,2005
Severe Severing,Premonition,Klaus Badelt,chill-out,2007
Sin Ti,Para Ti...,Anthony Cruz,lovers rock,0
3 Deuces,The Ozell Tapes,Marcus Miller,jazz funk,2001
So Lonely,So Lonely,The Police,new wave,1978
Ta Min Vals (Take This Waltz),Ta Min Vals/Sjunger Leonard Cohen,Ebba Forsberg,roots rock,0
Corner Story,Future Development,Del The Funky Homosapien,hip hop,1998
FrA"res de sang (feat. Meiway),Aurlus MabA(c)lA(c)_ Best of inA(c)dit,Aurlus MabA(c)lA(c),soukous,0
Your Smile (LP Version),Sings The Movies,James Darren,brill building pop,0
Mei Tian Ai Ni Duo Yi Xie,4 in Love,Leon Lai,chinese music,0
Only When I'm Drunk,21 & Over,Tha Alkaholiks,hip hop,1993
Slide In - Slide Out,Either You Like It or You Don't,Capital Tax,hip hop,0
Spanish Nights,MSB,Michael Stanley Band,heartland rock,1982
Far Beyond The Endless,Far Beyond The Endless,Moist,post-grunge,2010
If I Ever Saw A Good Thing (Album Version),The Best Of Tony Joe White Featuring "Polk Salad Annie,Tony Joe White,country rock,0
Talking About It Blues,Pentatonic Wars and Love Songs,Otis Taylor,country blues,2009
Lonely,Lonely,Akon,hip hop,2004
KOOKOSP}HKIN} - I'VE GOT A LOVELY BUNCH OF COCONUTS-,Suosituimmat Lastenlaulut,M.A. Numminen,german pop,1998
Hank & Joe and Me,Austin Prison,Johnny Cash,honky tonk,0
Framed,Zalvation,The Sensational Alex Harvey Band,glam rock,1972
Jane's Theme,The Thirteenth Floor,Harald Kloser,big beat,0
You Gotta Go,Traffic and Weather,Fountains Of Wayne,power pop,2007
Ready For The Love,U Brown's Hit Sound,Angela Stewart,lovers rock,0
Best Kept Secret,Lights On,Dons,rock 'n roll,2006
Guardian Angel,No Compromise,Since The Flood,hardcore metal,2007
Class Compromise (&History's Glory),No Mercy For You,The Business,oi,2001
Once,Once EP,Del Horno,tribal house,0
Same Old Song And Dance,A Little South Of Sanity,Aerosmith,blues-rock,1974
Why Do You Have to Go,Dreams Of Contentment,Dells,chicago soul,1957
Luna Latina,Treasures Of The Heart,Nestor Torres,latin jazz,0
Poisonous (Edited) (Feat. Devin The Dude),This Way,Dilated Peoples Featuring Devin The Dude,turnablism,2004
To Bob Ross With Love (Album Version),The Papercut Chronicles,Gym Class Heroes,hip hop,2005
I Give Up (Album Version),Life Is Good: The Best Of Stellar Kart,Stellar Kart,christian punk,0
Jambalaya (On The Bayou),Flyin' High,Johnny Copeland,texas blues,2000
The Distance,Bounce - Special Edition,Bon Jovi,rock,2002
Cross The Bridge,Defend It,Beenie Man,dancehall,0
Comeback,Soldier Of Fortune,Eric Burdon,blues-rock,1988
You And Only You,Still The Cross,FFH,ccm,0
Thump Thump Da Box,Da Grand Architek,DJ Phiene,ghetto tech,0
Mental Beat,Back to Mystery City,Hanoi Rocks,heavy metal,1983
I Adara_ To Lenaki Ki I Rinio (Fuss_ Lenaki And Rinio) (2006 Digital Remaster),Metanastes,Viki Mosholiou,mondiovision,0
Won't You Spread Some Flowers On My Grave,Living Country Blues USA Vol. 12 - East Coast Blues,Guitar Slim,r&b,0
Scars and Souvenirs Intro,Sell Out - Live at Dan's Silver Leaf,Max Stalling,roots rock,0
Talkin' Bout A Revolution,Home,6CycleMind,pinoy rock,0
Too Shy To Scream,Crash Love,AFI,post-hardcore,2009
I Don't Care If You Lie (C Layne),South by Southwest Compilation,Magnatune Compilation,free music,0
I Love Rock nA' Roll,Det BA$?sta FrAY=n Idol 2006,Jessica Myrberg,swedish,0
Squanderer,Glory Bumps,Shriekback,alternative dance,2007
Narechenny Izgoem,Devyaty Messiya,Kruger,post-hardcore,0
Lament for Frankie,Solas,Solas,irish folk,1996
Boots The Monkey!,Dora The Explorer,Dora The Explorer,goregrind,0
Sugar Buzz,Playground,Russell Malone,cool jazz,2007
Good News,M.T.A,Kingston Trio,folk-pop,0
Turning Of A Key,The Key,Michael Gettel,chamber jazz,1993
Dos imposibles,Las huellas borradas,Diego Vasallo,fusion,0
The King,On The Strength,Grandmaster Flash,hip hop,0
Games People Play,The King's Harmoniers,The Jordanaires,country gospel,0
Champagne Bubble Bath,Imitations Of Life,H-Town,new jack swing,0
You're All I Need,Candy Cane Riddim,Singing Melody,dancehall,0
Lead Me To The Cross (Acoustic),Take Everything (The Acoustic Sessions),Seventh Day Slumber,christian rock,0
Fiel Enamorado,La Habana Tiene...,Estrellas Cubanas,charanga,0
Warfare,Mood Muzik III,Joell Ortiz,hip hop,0
Gir Dig Mer,3: Fresh-Fri-Fly,Nik & Jay,pop rap,0
These Days,Joyful,Ayo,neo soul,2006
Ouverture,Digital Bless,Stern,easy listening,0
Dry Bone Shuffle,All the Published Sides,Blind Blake,country blues,2006
Mi Mas Agapas,14 Megala Tragoudia - Angela Dimitriou,Angela Dimitriou,pop folk,0
Slip Kid,The Who By Numbers,The Who,british invasion,1975
Dame Un Besito (Version Salsa),Andy & Lucas (En Su Salsa),Andy & Lucas,flamenco,0
She Is,Acoustic In Nashville - Bootleg No. 2,The Fray,piano rock,2005
Keysage,Vicious Mary,Vicious Mary,vaudeville,0
Franks Plea,Flight Of The Phoenix,Marco Beltrami,soundtrack,2004
If You Wanna Be My Friend,Desert Caravan,Oscar Lima,melbourne,1999
Le Beeatch,Global Underground Singles Sampler One,Trafik,progressive house,0
Somewhere Out There (Album Version),Somewhere Out There,Deodato,jazz funk,0
Sanchez Family,Man On Fire,Harry Gregson-Williams,video game music,2004
Quinze mai,AccordA(c)on vol.3 - Paris 1944-1954,Gus Viseur,gypsy jazz,0
Gaita Pueblera,Las Mejores Gaitas Vol.1,Gran Coquivacoa,gaita,0
I Think About You (LP Version),Can You Feel It,Ray Barretto,latin jazz,0
Matriarch (LP Version),Michael White,MICHAEL WHITE,new orleans jazz,0
Plage de Belle Maison,ILE D'YEU,Thomas Battenstein,guitar,0
Bricks And Mortar,In The City,The Jam,british pop,1977
Stuck On Rewind,Retro Boosters,Rockit,tech house,0
Freestyle Ministry (server Verbals),Keep Right,KRS-One,hip hop,2004
He Dreams Of Spaceships,Static Patterns And Souvenirs,Lorna,reggaeton,0
This Is Our Album_ Eh?,Great White North,Bob McKenzie / Doug McKenzie,stand-up comedy,0
Moving On,Set Free - The Definitive Edition,Constance Demby,meditation,1989
Love Is An Uphill Climb  (),Someone Who Cares,David Robertson,folk-pop,0
South Side Rep Your Hood (Ringtone_ Sonnerie),ReprA(c)sente ton tiA(c)kar (Sonneries),Blingtones,turnablism,0
Open your Eyes,From Isolation,Call To Preserve,straight edge,2008
Red Wind (World),Island of Bows,R. Carlos Nakai,chamber jazz,1994
A?Y CA3mo Es Al?,Lo Mejor De JosA(c) Luis Perales,Jose Luis Perales,latin pop,0
To My Victim's Families,Sulfur and Semen,Birds of Prey,sludge metal,0
Sleeping Annaleah (2009 Digital Remaster),Kicking Against The Pricks (2009 Digital Remaster),Nick Cave & The Bad Seeds,rock,0
Up All Night (Acoustic Live Album Version),from Music In High Places,Unwritten Law,post-grunge,2003
Juncales,Orillas,Juan Carmona,flamenco,0
Tanguero,Tango,Laurindo Almeida / Charlie Byrd,latin jazz,0
197666 w/ Special Guest The Confederate Crusader (Album Version),The Late_ Late Show,Wednesday 13's Frankenstein Drag Queens From Planet 13,horror punk,0
Evenglow,Peaceful Evening,David & Steve Gordon,meditation,1982
Louise,PISTOLA,Willy DeVille,blues-rock,2008
Big Woman,Washboard Sam Vol. 1 (1935-1936),Washboard Sam,delta blues,0
Unforgettable Season,In Ghost Colours,Cut Copy,alternative dance,2008
This Love,Call And Response: The Remix Album,Maroon 5,pop,2002
Approach To Danger (Edited),The Best Of N.W.A: The Strength Of Street Knowledge,N.W.A.,gangster rap,2006
Somebody Changed the Lock,East Coast Blues,Tarheel Slim,electric blues,0
My Butcher Man,Queen Of Country Blues,Memphis Minnie,country blues,1991
Mother-In-Law Blues,Blues Consolidated,Little Jr. Parker,soul blues,1958
Dreams - Original,Dan Moretti's Infant Eyes,Dan Moretti,nu jazz,0
Move Mountains (BBC In Concert),BBC In Concert (22nd June 1990),Jesus Jones,dance rock,0
Have Fun Prelude,PEECHY,Speech,hip hop,2003
Peace,The Soldier,Billy Higgins,hard bop,0
Listen Up,The Torture Papers,Army of the Pharoahs,tango,0
Tell Me Why,Roadhouse Research,Smokin' Joe Kubek & Bnois King,blues-rock,0
We Don't Need It (Amended Album Version),Sunset Park - Original Motion Picture Soundtrack,Junior M. A. F. I. A.,hip hop,0
The Everlasting Gaze (A Static Lullaby),The Killer In You: A Tribute To Smashing Pumpkins,A Static Lullaby,post-hardcore,0
After Hours,Phantom Planet,Phantom Planet,power pop,2004
Outta Control,The Massacre (Ecopac Reissue Explicit),50 Cent / Mobb Deep,gangster rap,2005
Psihi Mou Moni,The Digital Collection,Pegy Zina,modern laika,0
Mercedes Benz,Gift Grub,Mario Rosenstock,irish,0
So Much Love,Wishing Well,Shangri Las,doo-wop,0
Rubber Track,The Digital Pimp Series Vol.1,DJ Deeon,hard house,0
Night Time,Attempted: Live At Max's Kansas City 1980,Suicide,experimental rock,2004
Real People (Cybernetic Dub),Real People,Apache Indian,dancehall,0
Juliet,The Very Best Of The Four Pennies,The Four Pennies,brill building pop,2002
Subcode,Unity Dub's Voyage Into Paradise,Jah Wobble & Bill Laswell,future jazz,0
Where Do We Go Now But Nowhere,The Boatmans Call,Nick Cave & The Bad Seeds,rock,2006
Let It Flow (Feat. Gauran-T and Freaky Frederali),About Time,Five Fingers of Funk,funk metal,1998
Hummingbird,A Song For You,Leon Russell,blues-rock,1970
Let Me Play With Yo' YoYo,Lost & Found Blues,Blind Willie McTell,country blues,0
Thirteen [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973],Keep An Eye On The Sky,Big Star,power pop,0
It Makes No Difference,You Are My Sunshine,Jimmie Davis,country blues,0
Pack Your Bags (Jake Benson Club Mix),Pack Your Bags,Leana,tribal house,0
Much Against Everyone'S Advice (Dave Bascombe Radio Mix),Much Against Everyone's Advice,Soulwax,dance rock,2000
Part Of Me (LP Version),Vonray,Vonray,post-grunge,2003
I've Been Loving You Too Long (LP Version),Soulful,Dionne Warwick,brill building pop,0
Femme du guerrier,Rue du temps,Les Ogres De Barback,chanson,1997
Don't You Wish It Was True,Revival,John Fogerty,roots rock,2007
Victims of the occupation,Black Book,Anne Dudley,trip hop,2006
Close To The Well (Live),NOC Live,Ivan Parker,country gospel,0
Worshipper's Medley,Worshipper,Darwin Hobbs,religious music,2005
Johnny My Boy - Original,The Ad Libs' The Boy From New York City,THE AD LIBS,all-female,0
Andra sidan,SAPder Om KA$?rleken,Sofia Karlsson,chanson,2009
Falling In Love,Live In Europe,Uriah Heep,heavy metal,1978
Leo's place,I Used To Be An Animal,Eric Burdon,blues-rock,1999
Coming Undone (Sleazy Days Rock Electro Remix) (Acid Planet Remix -- France),Live & Unglued,Korn,rap metal,0
Sometimes Yes_ Sometimes No,Jill Paquette,Jill Paquette,soft rock,0
Greasers,Epic Fits,PRE,no wave,2007
Stop Complaining/Remix/Jam,Overnite Encore: Lyrics Born Live!,Lyrics Born,hip hop,2006
Fix The Cracks,Fix The Cracks,Humanzi,dance-punk,2006
Love Can,The Great Leap,David Tao,chinese music,0
Wildfire (Album Version),Payable On Death,P.O.D.,alternative metal,0
A Quoi Ca Sert,Comme Vous,Julie Zenatti,chanson,0
Linda Lou,Cotton Eyed Joe,Bob Wills,western swing,0
Hypergasm,Turbocharger,Chaotica,industrial rock,0
I Love You_ You Imbecile,In A Nutshell,Pelle Carlberg,twee pop,2007
In A Letter To You (Digitally Remastered 98),20 Favorites,Eddy Raven,zydeco,0
Pamella,Songs For The Poor Man,Remmy Ongala,soukous,0
Love Is So Unkind (Album Version),Wanting,Gabriela Anders,latin jazz,1998
Sonnenfreunde,Black Ark EP,Carl Crack,broken beat,1998
Thine Is The Kingdom,Roadmaps and Revelations,Parachute Band,ccm,0
He Can't Love you,Right Back at Ya (1971-1983),Michael Stanley Band,heartland rock,1980
Ho Sake To,No Limits,Hunters,bhangra,0
Mother Of Greed,Halcyon Times,Jason & The Scorchers,country rock,0
Les frelons (Live),La vie va si vite (Live),Claire ElziA"re,indie,0
Afraid,Motley Crue / Rock Legends,MAPtley CrA1/4e,heavy metal,1997
A Doce CanASSAPSo de NA(c)lida,Terra EsperanASSa,Sivuca & Camerata BrasAlica,brazilian jazz,0
I Was Blind But Now I See,Faces,Greater Vision,ccm,0
Gun Pull,Fun With Dick And Jane,Theodore Shapiro,country blues,2006
Amazing Grace,Intercessor,Bill Murk,hard house,0
The Wrapper,Dans la brume A(c)lectrique (Bande originale du film),Marco Beltrami,soundtrack,0
Let the Music Use You (Next Generation Mix),The Next Generation,Jere McAllister,deep house,0
Sonho (Dream),Narada Decade (The Anniversary Collection),Nando Lauria,latin jazz,0
Flip Over And Upsidedown,Mesmerise the Future,Emotion Code,trance,0
Let's Make Love (Album Version),Breathe,Faith Hill & Tim McGraw,country,1999
Street Loafin' Woman,West Coast Down Home Blues,Jimmy McCracklin,piano blues,0
Broken Radio,Broken Radio,Jesse Malin,urban folk,2007
Tule illoin,20 Suosikkia / Laula kanssain,Fredi,ballad,0
Flight To Jordan,Live At The Playboy Jazz Festival,Tito Puente,salsa,1998
Rock Around The Christmas Tree,Lost And Found,Daniel Johnston,power pop,2006
Vegetable (Live),Pablo Honey (Collector's Edition),Radiohead,british pop,1993
So It Goes,Rotterdam EP,Mister Ries,ghetto tech,0
Come Emmanuel (House Of Worship Album Version),The Ultimate Collection,Twila Paris,ccm,0
Love Round The Corner,Airport - The Motors Greatest Hits,The Motors,power pop,0
Horn Webb,With Fontenella Bass,Art Ensemble Of Chicago,country rock,0
Contagious,Monkey Business,Ill Harmonics,hip hop,0
Give My Heart A Break aka You Don't Seem To Understand,Blues Blastin': The Modern Recordings Vol 2,Jimmy McCracklin,piano blues,0
Amazing Grace (Album Version),The Gang's All Here,Dropkick Murphys,celtic punk,1999
Star Signs,Leona Naess,Leona Naess,chanson,2003
summer jam,This Will Be The Death Of Us,Set Your Goals,pop punk,2009
India,Guitarscapes,Jeff Wahl,meditation,2003
Blue Lights Flashing,Invasion Metropolis,Solitaire,deep house,0
Pretend,Just A Little Lovin',Shelby Lynne,country rock,2008
Calm,Beatservice Jukebox - Best Of Beatservice Records,Circular,chill-out,0
Now I Know,Incarceration,Bullethole,thrash core,0
Poker Face,Live Lounge 4,Lady GaGa,dance pop,2008
Just Let Me Be In Love,Ten Rounds,Tracy Byrd,honky tonk,2007
Wrong Decision (Instrumental),Martini Breaks,Vrse Murphy,dj,0
I'll Never Get Over You,The Dee Jays / Baby Talk - Best of,The Dee Jays,freakbeat,0
Golfshirt Pt. 2,IV,Nerf Herder,post-grunge,0
Nordmark,KvA$?llningsvindar Aver Nordront Land,YGGDRASIL,viking metal,0
Ares Populares/Asa Branca,Estados,Moraes Moreira,latin jazz,0
Its Too Late Now,Tales From The Sick,Prozak,rap,0
